INFO - [08/20 18:56:38] - 
***********Begins test no. 1.
INFO - [08/20 18:56:38] - The projected low rank is 144.
DEBUG - [08/20 18:56:44] - Enter The 1-th iteration of inner loop
DEBUG - [08/20 18:56:44] - Enter The 2-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.047892
DEBUG - [08/20 18:56:44] - Enter The 3-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.034398
DEBUG - [08/20 18:56:44] - Enter The 4-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.019633
DEBUG - [08/20 18:56:44] - Enter The 5-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.013222
DEBUG - [08/20 18:56:44] - Enter The 6-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.021394
DEBUG - [08/20 18:56:44] - Enter The 7-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.030043
DEBUG - [08/20 18:56:44] - Enter The 8-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.034229
DEBUG - [08/20 18:56:44] - Enter The 9-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.033340
DEBUG - [08/20 18:56:44] - Enter The 10-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.028205
DEBUG - [08/20 18:56:44] - Enter The 11-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.020589
DEBUG - [08/20 18:56:44] - Enter The 12-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.013461
DEBUG - [08/20 18:56:44] - Enter The 13-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.011846
DEBUG - [08/20 18:56:44] - Enter The 14-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.015819
DEBUG - [08/20 18:56:44] - Enter The 15-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.019808
DEBUG - [08/20 18:56:44] - Enter The 16-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.021479
DEBUG - [08/20 18:56:44] - Enter The 17-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.020494
DEBUG - [08/20 18:56:44] - Enter The 18-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.017404
DEBUG - [08/20 18:56:44] - Enter The 19-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.013398
DEBUG - [08/20 18:56:44] - Enter The 20-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.010348
DEBUG - [08/20 18:56:44] - Enter The 21-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.010120
DEBUG - [08/20 18:56:44] - Enter The 22-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.011928
DEBUG - [08/20 18:56:44] - Enter The 23-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.013627
DEBUG - [08/20 18:56:44] - Enter The 24-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.014162
DEBUG - [08/20 18:56:44] - Enter The 25-th iteration of inner loop
DEBUG - [08/20 18:56:44] - The improvement of inner step is 0.013384
DEBUG - [08/20 18:56:44] - Enter The 26-th iteration of inner loop
DEBUG - [08/20 18:56:45] - The improvement of inner step is 0.011670
DEBUG - [08/20 18:56:45] - Enter The 27-th iteration of inner loop
DEBUG - [08/20 18:56:45] - The improvement of inner step is 0.009765
DEBUG - [08/20 18:56:45] - Enter The 28-th iteration of inner loop
DEBUG - [08/20 18:56:45] - The improvement of inner step is 0.008595
DEBUG - [08/20 18:56:45] - Enter The 29-th iteration of inner loop
DEBUG - [08/20 18:56:45] - The improvement of inner step is 0.008640
DEBUG - [08/20 18:56:45] - Enter The 30-th iteration of inner loop
DEBUG - [08/20 18:56:45] - The improvement of inner step is 0.009388
DEBUG - [08/20 18:56:45] - Enter The 1-th iteration of inner loop
DEBUG - [08/20 18:56:45] - Enter The 2-th iteration of inner loop
DEBUG - [08/20 18:56:45] - The improvement of inner step is 0.029222
DEBUG - [08/20 18:56:45] - Enter The 3-th iteration of inner loop
DEBUG - [08/20 18:56:45] - The improvement of inner step is 0.021810
